Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0016878,2.03e-05,1.2
32,0.0016657,3.2e-05,1.92
64,0.0017358,2.02e-05,1.16
128,0.0019879,5.37e-05,2.7
256,0.0037485,5.6e-05,1.49
512,0.011238,0.00018,1.6
1024,0.037414,0.00068,1.82
2048,0.1439,0.00111,0.77
4096,0.55874,0.00381,0.68
8192,2.1508,0.012,0.56
