Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0017841,1.71e-05,0.96
32,0.0017833,2.68e-05,1.5
64,0.0022569,2.95e-05,1.31
128,0.0051062,3.46e-05,0.68
256,0.015785,0.000119,0.76
512,0.055299,0.000223,0.4
1024,0.212596,0.000593,0.28
2048,0.84184,0.00148,0.18
4096,3.3373,0.00428,0.13
8192,13.33326,0.00958,0.07
