Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0018433,2.47e-05,1.34
32,0.0018236,2.3e-05,1.26
64,0.002398,5.13e-05,2.14
128,0.0057266,4.83e-05,0.84
256,0.0183863,6.96e-05,0.38
512,0.065406,0.000184,0.28
1024,0.253721,0.000387,0.15
2048,1.00639,0.00113,0.11
4096,4.00717,0.00279,0.07
8192,15.99569,0.00666,0.04
