Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0018769,4e-05,2.13
32,0.0018009,2.6e-05,1.45
64,0.0022537,1.88e-05,0.83
128,0.0050757,4.64e-05,0.91
256,0.0161195,9.29e-05,0.58
512,0.057832,0.000135,0.23
1024,0.22549,0.000636,0.28
2048,0.88595,0.00146,0.16
4096,3.52695,0.00399,0.11
8192,14.06053,0.00732,0.05
