Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008587,3.57e-05,4.15
32,0.0017496,7.22e-05,4.13
64,0.004369,0.000125,2.87
128,0.014251,0.000217,1.52
256,0.054597,0.000818,1.5
512,0.205024,0.000824,0.4
1024,0.82166,0.00177,0.22
2048,3.2907,0.00321,0.1
4096,13.0694,0.0285,0.22
8192,52.3468,0.0715,0.14
