Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.001058,0.00014,13.22
32,0.0017199,9.05e-05,5.26
64,0.004529,0.000176,3.89
128,0.015024,0.000136,0.9
256,0.055878,0.000486,0.87
512,0.21748,0.00128,0.59
1024,0.8706,0.00285,0.33
2048,3.5559,0.0328,0.92
4096,13.8827,0.0116,0.08
8192,55.3651,0.0665,0.12
