Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009485,5.32e-05,5.61
32,0.001962,0.000111,5.64
64,0.005412,0.000244,4.5
128,0.01705,0.000283,1.66
256,0.066336,0.000544,0.82
512,0.247697,0.00079,0.32
1024,0.994205,0.000578,0.06
2048,4.0926,0.0547,1.34
4096,15.8237,0.0103,0.06
8192,63.271,0.113,0.18
