Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0006037,2.31e-05,3.82
32,0.0006945,1.08e-05,1.55
64,0.0012072,5.76e-05,4.77
128,0.002999,0.000133,4.43
256,0.008533,0.000129,1.51
512,0.032827,0.000913,2.78
1024,0.117828,0.0007,0.59
2048,0.47187,0.00211,0.45
4096,1.87323,0.00363,0.19
8192,7.5518,0.0493,0.65
