Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.00063998,5.84e-06,0.91
32,0.00077038,6.86e-06,0.89
64,0.00112725,8.16e-06,0.72
128,0.0027205,1.45e-05,0.53
256,0.0085134,1.91e-05,0.22
512,0.0313452,8.94e-05,0.29
1024,0.120662,0.000207,0.17
2048,0.47752,0.00102,0.21
4096,1.90171,0.00287,0.15
8192,7.55673,0.00913,0.12
