Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008764,1.1e-05,1.26
32,0.00157674,9.98e-06,0.63
64,0.0043436,1.82e-05,0.42
128,0.0149791,5.52e-05,0.37
256,0.0565443,7.12e-05,0.13
512,0.221758,0.000205,0.09
1024,0.88252,0.0012,0.14
2048,3.51487,0.00477,0.14
4096,14.363,0.0647,0.45
8192,56.2182,0.0271,0.05
