Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.00087616,9.19e-06,1.05
32,0.0017141,1.67e-05,0.97
64,0.0048075,1.64e-05,0.34
128,0.0169236,2.84e-05,0.17
256,0.0640438,9e-05,0.14
512,0.251618,0.000259,0.1
1024,1.00228,0.00136,0.14
2048,3.99849,0.0046,0.12
4096,16.0513,0.0366,0.23
8192,64.367,0.195,0.3
