Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0018509,1.7e-05,0.92
32,0.0018507,1.48e-05,0.8
64,0.0021182,3.95e-05,1.87
128,0.002582,8.19e-05,3.17
256,0.0047443,7.87e-05,1.66
512,0.012831,0.000431,3.36
1024,0.040371,0.00038,0.94
2048,0.15103,0.00126,0.83
4096,0.57783,0.00433,0.75
8192,2.2559,0.0106,0.47
