Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0019133,1.65e-05,0.86
32,0.0021738,1.26e-05,0.58
64,0.0029088,5.8e-05,1.99
128,0.006317,0.000121,1.91
256,0.017807,0.0003,1.69
512,0.060257,0.000126,0.21
1024,0.234317,0.000952,0.41
2048,0.92324,0.0015,0.16
4096,3.66515,0.00467,0.13
8192,14.60946,0.00973,0.07
