Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0019309,2.17e-05,1.13
32,0.0022109,1.46e-05,0.66
64,0.0028819,4.47e-05,1.55
128,0.0062,0.000133,2.14
256,0.01861,0.000357,1.92
512,0.057476,0.000157,0.27
1024,0.221439,0.000778,0.35
2048,0.8743,0.00242,0.28
4096,3.46398,0.0028,0.08
8192,13.8137,0.0211,0.15
