Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0019046,1.46e-05,0.77
32,0.00224036,9.13e-06,0.41
64,0.0030763,5.71e-05,1.86
128,0.007269,0.000123,1.7
256,0.020484,0.000368,1.8
512,0.068048,0.000166,0.24
1024,0.265479,0.000547,0.21
2048,1.04539,0.00165,0.16
4096,4.15568,0.00389,0.09
8192,16.5954,0.0108,0.07
