Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009336,1.61e-05,1.72
32,0.0011424,1.58e-05,1.38
64,0.0019934,4.61e-05,2.31
128,0.0053654,3.9e-05,0.73
256,0.0183612,3.63e-05,0.2
512,0.0701195,4.06e-05,0.06
1024,0.276895,0.000547,0.2
2048,1.08971,0.00149,0.14
4096,4.33908,0.00407,0.09
8192,17.377,0.102,0.59
