Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009371,1.13e-05,1.21
32,0.001744,0.000655,37.55
64,0.0018563,2.41e-05,1.3
128,0.0047052,5.09e-05,1.08
256,0.0158844,3.71e-05,0.23
512,0.06028,0.000237,0.39
1024,0.23602,0.00152,0.65
2048,0.92698,0.0039,0.42
4096,3.7164,0.0287,0.77
8192,14.6856,0.0362,0.25
