Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.000932,1.17e-05,1.25
32,0.0011285,1.1e-05,0.98
64,0.0018528,3.6e-05,1.94
128,0.0049051,1.76e-05,0.36
256,0.016859,0.000121,0.72
512,0.063395,0.000324,0.51
1024,0.246477,0.000928,0.38
2048,0.97113,0.00213,0.22
4096,3.8569,0.0136,0.35
8192,15.4402,0.03,0.19
