Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008914,1.5e-05,1.69
32,0.001718,0.00078,45.39
64,0.0011772,1.57e-05,1.33
128,0.0020103,3.08e-05,1.53
256,0.0054138,1.6e-05,0.3
512,0.018527,6.3e-05,0.34
1024,0.063904,0.000533,0.83
2048,0.236934,0.00072,0.3
4096,0.931275,0.000846,0.09
8192,3.70424,0.00184,0.05
