Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0012416,1.28e-05,1.03
32,0.0013467,2.09e-05,1.55
64,0.0018934,6.26e-05,3.3
128,0.0047166,5.13e-05,1.09
256,0.015508,0.000167,1.08
512,0.056852,0.000243,0.43
1024,0.220071,0.000828,0.38
2048,0.86284,0.00214,0.25
4096,3.42439,0.00562,0.16
8192,13.5182,0.0196,0.14
