Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0012331,2.07e-05,1.68
32,0.0014073,3.73e-05,2.65
64,0.0020649,3.67e-05,1.78
128,0.005538,0.000136,2.45
256,0.018532,0.000141,0.76
512,0.066309,0.000141,0.21
1024,0.260793,0.000746,0.29
2048,1.02977,0.00392,0.38
4096,4.04991,0.006,0.15
8192,16.0959,0.0136,0.08
