Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0011927,2.02e-05,1.69
32,0.00115853,7.58e-06,0.65
64,0.0012379,1.51e-05,1.22
128,0.0017187,2.48e-05,1.44
256,0.0039876,6.01e-05,1.51
512,0.012453,0.000121,0.97
1024,0.049651,0.000622,1.25
2048,0.18421,0.00211,1.14
4096,0.67881,0.00223,0.33
8192,2.6915,0.0111,0.41
