Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0012435,2.01e-05,1.62
32,0.0013503,2.35e-05,1.74
64,0.0019583,3.76e-05,1.92
128,0.004911,0.000106,2.16
256,0.016676,0.00012,0.72
512,0.059586,0.0002,0.34
1024,0.23156,0.00133,0.57
2048,0.91231,0.00269,0.3
4096,3.58359,0.0061,0.17
8192,14.2197,0.0174,0.12
