Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0010286,5.83e-05,5.67
32,0.00083,1.69e-05,2.03
64,0.0016059,5.79e-05,3.61
128,0.004073,0.000106,2.6
256,0.013164,0.000424,3.22
512,0.047371,0.000522,1.1
1024,0.183163,0.000861,0.47
2048,0.72021,0.00104,0.14
4096,2.992,0.0114,0.38
8192,11.7786,0.0914,0.78
