Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009783,4.41e-05,4.51
32,0.002184,0.000116,5.31
64,0.005646,0.000142,2.51
128,0.018596,0.000318,1.71
256,0.069121,0.000564,0.82
512,0.26921,0.00109,0.4
1024,1.0595,0.00119,0.11
2048,4.3704,0.0434,0.99
4096,17.0661,0.0713,0.42
8192,67.4982,0.0586,0.09
