Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.001238,0.00555,4.48
32,0.0018948,0.00647,3.42
64,0.004926,0.000146,2.95
128,0.015654,0.000239,1.52
256,0.058464,0.000492,0.84
512,0.224996,0.000521,0.23
1024,0.90231,0.00669,0.74
2048,3.58809,0.00487,0.14
4096,14.21672,0.00752,0.05
8192,56.6277,0.0603,0.11
