Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008264,4.95e-05,5.99
32,0.0008951,4.26e-05,4.75
64,0.0010054,1.78e-05,1.77
128,0.001964,3.67e-05,1.87
256,0.0055036,8.62e-05,1.57
512,0.018311,9.5e-05,0.52
1024,0.069497,0.000276,0.4
2048,0.273568,0.000318,0.12
4096,1.085474,0.000627,0.06
8192,4.32141,0.00504,0.12
