Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0010046,5.24e-05,5.21
32,0.0013638,5.78e-05,4.24
64,0.0031366,8.37e-05,2.67
128,0.0098625,8.74e-05,0.89
256,0.035989,0.000215,0.6
512,0.138947,0.000202,0.15
1024,0.552804,0.000479,0.09
2048,2.19975,0.00113,0.05
4096,8.8278,0.0263,0.3
8192,35.1564,0.0175,0.05
