Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009391,4.29e-05,4.57
32,0.0012641,1.23e-05,0.98
64,0.0029118,7.31e-05,2.51
128,0.0086174,8.25e-05,0.96
256,0.031167,0.000226,0.72
512,0.119798,0.000304,0.25
1024,0.4763,0.000483,0.1
2048,1.89655,0.00214,0.11
4096,7.54726,0.00482,0.06
8192,30.2101,0.0133,0.04
