Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008893,1.31e-05,1.47
32,0.0013345,1.5e-05,1.12
64,0.0033174,8.18e-05,2.46
128,0.01065,0.000115,1.08
256,0.038934,0.000221,0.57
512,0.151718,0.0004,0.26
1024,0.601705,0.000548,0.09
2048,2.40017,0.00234,0.1
4096,9.58764,0.00554,0.06
8192,38.3266,0.0221,0.06
