Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0010222,1.56e-05,1.53
32,0.0011051,1.8e-05,1.63
64,0.0017542,5.92e-05,3.38
128,0.0044488,1.99e-05,0.45
256,0.0151473,7.6e-05,0.5
512,0.057394,0.000133,0.23
1024,0.225544,0.000849,0.38
2048,0.88593,0.002,0.23
4096,3.5492,0.0121,0.34
8192,14.1667,0.0444,0.31
