Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.000994,1.74e-05,1.76
32,0.0011288,1.84e-05,1.63
64,0.0018877,7.31e-05,3.87
128,0.004985,3.03e-05,0.61
256,0.017402,2.6e-05,0.15
512,0.066812,8.55e-05,0.13
1024,0.263051,0.000451,0.17
2048,1.04936,0.00255,0.24
4096,4.17677,0.00187,0.04
8192,16.71285,0.00475,0.03
