Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009903,1.68e-05,1.69
32,0.0011011,4.12e-05,3.74
64,0.0017318,1.89e-05,1.09
128,0.00461,1.07e-05,0.23
256,0.0161368,3.78e-05,0.23
512,0.061156,0.000115,0.19
1024,0.241434,0.000572,0.24
2048,0.95769,0.0016,0.17
4096,3.82836,0.00587,0.15
8192,15.3062,0.0172,0.11
