Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008178,1.28e-05,1.56
32,0.001092,1.8e-05,1.65
64,0.0020678,3.2e-05,1.55
128,0.0061509,3.39e-05,0.55
256,0.0220082,2.76e-05,0.13
512,0.084413,3.74e-05,0.04
1024,0.329301,0.000478,0.15
2048,1.309272,0.000777,0.06
4096,5.22258,0.00341,0.07
8192,20.9016,0.0136,0.07
