Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008267,1.36e-05,1.64
32,0.0011167,1.35e-05,1.21
64,0.0022573,1.36e-05,0.6
128,0.0069094,1.1e-05,0.16
256,0.025412,0.000159,0.63
512,0.09952,0.00159,1.59
1024,0.385871,0.000451,0.12
2048,1.53313,0.000828,0.05
4096,6.11988,0.00385,0.06
8192,24.4624,0.012,0.05
