Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0007976,1.02e-05,1.28
32,0.001099,9.84e-06,0.9
64,0.002135,2.77e-05,1.3
128,0.00655323,8.59e-06,0.13
256,0.0236938,1.32e-05,0.06
512,0.0912134,4.31e-05,0.05
1024,0.35665,0.000716,0.2
2048,1.412291,0.000811,0.06
4096,5.63288,0.00364,0.06
8192,22.50753,0.00968,0.04
