Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0007633,1.67e-05,2.19
32,0.00080583,9.06e-06,1.12
64,0.0010729,1.12e-05,1.04
128,0.0020027,2.21e-05,1.1
256,0.0057431,1.48e-05,0.26
512,0.0200083,3.43e-05,0.17
1024,0.0712219,4.71e-05,0.07
2048,0.274809,0.000405,0.15
4096,1.08717,0.000747,0.07
8192,4.32331,0.00213,0.05
