Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0007885,2.42e-05,3.07
32,0.0009855,9.81e-05,9.95
64,0.0013312,5.64e-05,4.24
128,0.0029572,7.02e-05,2.38
256,0.0088101,8.95e-05,1.02
512,0.031081,0.000199,0.64
1024,0.12359,0.00299,2.42
2048,0.470758,0.000376,0.08
4096,1.87049,0.00167,0.09
8192,7.45965,0.00475,0.06
