Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0010408,5.71e-05,5.48
32,0.0017142,2.34e-05,1.37
64,0.0046065,7.76e-05,1.69
128,0.015134,0.0001,0.66
256,0.056177,0.000321,0.57
512,0.218563,0.000277,0.13
1024,0.8756,0.00576,0.66
2048,3.48324,0.00288,0.08
4096,13.889,0.0261,0.19
8192,55.581,0.116,0.21
