Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0009512,1.43e-05,1.5
32,0.001892,0.000102,5.39
64,0.0044369,8.46e-05,1.91
128,0.014416,0.000117,0.82
256,0.053054,0.000237,0.45
512,0.206723,0.000325,0.16
1024,0.820854,0.000706,0.09
2048,3.27426,0.00305,0.09
4096,13.0681,0.0112,0.09
8192,52.4,0.107,0.2
