Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0007793,7.77e-06,1.0
32,0.0012745,1.16e-05,0.91
64,0.0030127,1.33e-05,0.44
128,0.009935,0.000138,1.39
256,0.036638,5.55e-05,0.15
512,0.142556,6.66e-05,0.05
1024,0.564537,0.000555,0.1
2048,2.25107,0.00159,0.07
4096,8.99924,0.00466,0.05
8192,35.9884,0.0175,0.05
