Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008117,8.04e-06,0.99
32,0.0013385,1.42e-05,1.06
64,0.0032301,1.21e-05,0.38
128,0.0104985,2.05e-05,0.19
256,0.0395764,3.32e-05,0.08
512,0.155582,0.000361,0.23
1024,0.617154,0.000621,0.1
2048,2.45788,0.00135,0.05
4096,9.8227,0.00892,0.09
8192,39.2102,0.0149,0.04
