Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.00069466,8.48e-06,1.22
32,0.00074658,9.25e-06,1.24
64,0.0009678,1.26e-05,1.3
128,0.001881,1.95e-05,1.04
256,0.0052547,1.88e-05,0.36
512,0.0184088,2.53e-05,0.14
1024,0.0706244,4.36e-05,0.06
2048,0.279612,0.000409,0.15
4096,1.11048,0.000512,0.05
8192,4.43847,0.005,0.11
