Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0007815,1.21e-05,1.55
32,0.0011896,1.45e-05,1.22
64,0.00268632,8.74e-06,0.33
128,0.0084279,2.24e-05,0.27
256,0.0311637,2.2e-05,0.07
512,0.1220395,7.06e-05,0.06
1024,0.486274,0.00049,0.1
2048,1.937987,0.000872,0.04
4096,7.7396,0.00616,0.08
8192,30.9787,0.0164,0.05
