Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.00086001,7.86e-06,0.91
32,0.00105336,9.95e-06,0.94
64,0.0020258,2.57e-05,1.27
128,0.005908,1.5e-05,0.25
256,0.020951,2.17e-05,0.1
512,0.0809257,4.25e-05,0.05
1024,0.32364,0.00273,0.84
2048,1.275665,0.000835,0.07
4096,5.10334,0.00198,0.04
8192,20.40537,0.00843,0.04
