Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0007946,1.07e-05,1.34
32,0.0008505,1.2e-05,1.41
64,0.00107447,8.71e-06,0.81
128,0.0018831,1.76e-05,0.94
256,0.0052355,1.24e-05,0.24
512,0.0178006,2.81e-05,0.16
1024,0.0675792,5.2e-05,0.08
2048,0.266601,0.000424,0.16
4096,1.058389,0.000989,0.09
8192,4.22835,0.0049,0.12
