Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.00086951,7.93e-06,0.91
32,0.00108379,8.4e-06,0.78
64,0.0020356,2.22e-05,1.09
128,0.0062824,1.38e-05,0.22
256,0.0225649,2.52e-05,0.11
512,0.0870875,5.32e-05,0.06
1024,0.345531,0.000624,0.18
2048,1.375238,0.000729,0.05
4096,5.49667,0.00256,0.05
8192,21.9712,0.011,0.05
