Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0008541,1.2e-05,1.41
32,0.001131,2.47e-05,2.19
64,0.0021579,3.52e-05,1.63
128,0.0066674,2.21e-05,0.33
256,0.0243738,2.46e-05,0.1
512,0.0944404,2.85e-05,0.03
1024,0.374685,0.000368,0.1
2048,1.49827,0.00331,0.22
4096,5.97362,0.00255,0.04
8192,23.88871,0.00846,0.04
