Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0012798,1.36e-05,1.06
32,0.001526,2.39e-05,1.56
64,0.0023088,4.76e-05,2.06
128,0.005422,0.000115,2.13
256,0.016709,0.000237,1.42
512,0.058497,0.000385,0.66
1024,0.22645,0.00159,0.7
2048,0.8967,0.00488,0.54
4096,3.48213,0.00788,0.23
8192,13.8599,0.0368,0.27
