Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0012912,1.61e-05,1.25
32,0.0015349,3.22e-05,2.1
64,0.0022253,6.43e-05,2.89
128,0.005425,0.000141,2.6
256,0.017473,0.000196,1.12
512,0.061557,0.000408,0.66
1024,0.24063,0.00117,0.48
2048,0.94211,0.00525,0.56
4096,3.70547,0.00655,0.18
8192,14.7077,0.023,0.16
