Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.0011923,1.78e-05,1.49
32,0.0012653,1.76e-05,1.39
64,0.001414,1.91e-05,1.35
128,0.0020053,2.73e-05,1.36
256,0.0043933,5.49e-05,1.25
512,0.012878,0.000189,1.47
1024,0.048162,0.000584,1.21
2048,0.18061,0.00135,0.75
4096,0.70728,0.00409,0.58
8192,2.7867,0.0106,0.38
