Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.001288,1.64e-05,1.27
32,0.0015724,3.35e-05,2.13
64,0.0024761,2.94e-05,1.19
128,0.0063284,5.23e-05,0.83
256,0.019338,0.000139,0.72
512,0.069562,0.000314,0.45
1024,0.26933,0.00117,0.44
2048,1.05715,0.00204,0.19
4096,4.16561,0.00562,0.13
8192,16.5964,0.0407,0.25
