Argument,Execution Time (s),Standard Deviation (s),Standard Deviation (%)
16,0.001146,5.78e-05,5.05
32,0.0017612,5.56e-05,3.16
64,0.0048678,8.1e-05,1.66
128,0.016263,0.000175,1.07
256,0.061294,0.00056,0.91
512,0.236192,0.000353,0.15
1024,0.93442,0.0015,0.16
2048,3.78335,0.00298,0.08
4096,15.1012,0.0427,0.28
8192,59.7456,0.0561,0.09
